Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Michael Cimino,USA,23 February 1979,The Deer Hunter,8.1,"Robert De Niro,Christopher Walken,John Cazale"
Ridley Scott,USA,25 June 1982,Blade Runner,8.1,"Harrison Ford,Rutger Hauer,Sean Young"
Ron Howard,USA,27 September 2013,Rush,8.1,"Daniel Brühl,Chris Hemsworth,Olivia Wilde"
Frank Capra,USA,22 February 1934,It Happened One Night,8.1,"Clark Gable,Claudette Colbert,Walter Connolly"
Joel Coen,USA,6 March 1998,The Big Lebowski,8.1,"Jeff Bridges,John Goodman,Julianne Moore"
Jae-young Kwak,South Korea,27 July 2001,My Sassy Girl,8.0,"Tae-Hyun Cha,Ji-Hyun Jun,In-mun Kim"
Guillermo del Toro,USA,19 January 2007,Pan's Labyrinth,8.2,"Ivana Baquero,Ariadna Gil,Sergi López"
Stuart Rosenberg,USA,1 November 1967,Cool Hand Luke,8.1,"Paul Newman,George Kennedy,Strother Martin"
Gavin O'Connor,USA,9 September 2011,Warrior,8.2,"Tom Hardy,Nick Nolte,Joel Edgerton"
George Miller,USA,15 May 2015,Mad Max: Fury Road,8.1,"Tom Hardy,Charlize Theron,Nicholas Hoult"
Yasujirô Ozu,USA,13 March 1972,Tokyo Story,8.2,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura"
Hayao Miyazaki,USA,13 July 1990,My Neighbor Totoro,8.2,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto"
Gus Van Sant,USA,9 January 1998,Good Will Hunting,8.3,"Robin Williams,Matt Damon,Ben Affleck"
Akira Kurosawa,Netherlands,20 February 1986,Ran,8.2,"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu"
Thomas Vinterberg,Netherlands,25 October 2012,The Hunt,8.3,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp"
Ingmar Bergman,USA,13 October 1958,The Seventh Seal,8.2,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot"
Oliver Hirschbiegel,USA,8 April 2005,Downfall,8.2,"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes"
Roman Polanski,USA,20 June 1974,Chinatown,8.2,"Jack Nicholson,Faye Dunaway,John Huston"
John Sturges,USA,4 July 1963,The Great Escape,8.2,"Steve McQueen,James Garner,Richard Attenborough"
Peter Jackson,USA,14 December 2012,The Hobbit: An Unexpected Journey,7.8,"Martin Freeman,Ian McKellen,Richard Armitage"
Ron Howard,USA,3 June 2005,Cinderella Man,8.0,"Russell Crowe,Renée Zellweger,Craig Bierko"
Barry Levinson,USA,16 December 1988,Rain Man,8.0,"Dustin Hoffman,Tom Cruise,Valeria Golino"
Edward Zwick,USA,8 December 2006,Blood Diamond,8.0,"Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly"
Tim Burton,USA,9 January 2004,Big Fish,8.0,"Ewan McGregor,Albert Finney,Billy Crudup"
Steven Spielberg,USA,25 December 2002,Catch Me If You Can,8.1,"Leonardo DiCaprio,Tom Hanks,Christopher Walken"
Duncan Jones,USA,10 July 2009,Moon,7.9,"Sam Rockwell,Kevin Spacey,Dominique McElligott"
Martin Scorsese,USA,22 November 1995,Casino,8.2,"Robert De Niro,Sharon Stone,Joe Pesci"
Clint Eastwood,USA,9 January 2009,Gran Torino,8.1,"Clint Eastwood,Bee Vang,Christopher Carley"
Guy Ritchie,Netherlands,12 November 1998,"Lock, Stock and Two Smoking Barrels",8.2,"Jason Flemyng,Dexter Fletcher,Nick Moran"
Joel Coen,USA,5 April 1996,Fargo,8.1,"William H. Macy,Frances McDormand,Steve Buscemi"
Martin Scorsese,USA,25 December 2013,The Wolf of Wall Street,8.2,"Leonardo DiCaprio,Jonah Hill,Margot Robbie"
Billy Wilder,USA,19 March 1959,Some Like It Hot,8.2,"Marilyn Monroe,Tony Curtis,Jack Lemmon"
Sergio Leone,USA,10 May 1967,For a Few Dollars More,8.3,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè"
Fritz Lang,USA,13 March 1927,Metropolis,8.3,"Brigitte Helm,Alfred Abel,Gustav Fröhlich"
Buster Keaton,USA,11 May 1924,Sherlock Jr.,8.2,"Buster Keaton,Kathryn McGuire,Joe Keaton"
Charles Chaplin,Brazil,13 July 1925,The Gold Rush,8.2,"Charles Chaplin,Mack Swain,Tom Murray"
Pete Docter,USA,29 May 2009,Up,8.2,"Edward Asner,Jordan Nagai,John Ratzenberger"
Elia Kazan,Japan,22 June 1954,On the Waterfront,8.1,"Marlon Brando,Karl Malden,Lee J. Cobb"
Carol Reed,France,12 October 1949,The Third Man,8.1,"Orson Welles,Joseph Cotten,Alida Valli"
